,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,fairbanks,64.84,-147.72,64.99,33,1,6.93,US,1590628540
88,batemans bay,-35.72,150.18,69.01,58,0,1.99,AU,1590628695
89,igaci,-9.54,-36.63,73.53,90,53,4.29,BR,1590628695
90,hobart,-42.88,147.33,57.99,71,20,8.05,AU,1590628695
91,castro,-24.79,-50.01,47.32,76,0,2.06,BR,1590628696
92,constitucion,-35.33,-72.42,54.72,89,5,3.15,CL,1590628696
93,korla,41.76,86.15,75.0,78,0,1.99,CN,1590628696
94,choya,52.01,86.55,50.56,63,0,1.88,RU,1590628696
95,swan hill,-35.34,143.55,60.15,54,0,3.94,AU,1590628697
96,meulaboh,4.14,96.13,80.29,79,100,2.84,ID,1590628697
97,pouembout,-21.13,164.9,79.99,64,100,3.06,NC,1590628697
98,garowe,8.41,48.48,81.9,60,88,15.61,SO,1590628697
99,kalmunai,7.42,81.82,80.17,84,98,8.01,LK,1590628697
100,marshfield,44.67,-90.17,73.99,83,75,3.36,US,1590628698
101,mastic beach,40.77,-72.85,63.0,88,90,5.82,US,1590628698
102,butaritari,3.07,172.79,82.4,76,11,13.85,KI,1590628698
103,darhan,49.49,105.92,46.17,59,99,18.41,MN,1590628699
104,surt,31.21,16.59,67.14,71,0,12.66,LY,1590628699
105,berdigestyakh,62.1,126.7,56.23,77,100,10.51,RU,1590628699
106,aranos,-24.13,19.12,44.17,49,0,8.99,NA,1590628700
107,saurimo,-9.66,20.39,70.45,54,94,3.83,AO,1590628700
108,tura,25.52,90.22,73.65,94,63,3.44,IN,1590628700
109,hopkinton,41.46,-71.78,64.99,88,90,4.7,US,1590628700
110,mar del plata,-38.0,-57.56,55.0,93,0,4.7,AR,1590628539
111,pisco,-13.7,-76.22,66.2,82,20,5.82,PE,1590628701
112,ruma,45.01,19.82,55.99,93,43,4.7,RS,1590628701
113,beipiao,41.79,120.78,68.22,39,99,4.56,CN,1590628701
114,carnarvon,-24.87,113.63,64.27,45,0,12.21,AU,1590628701
115,inuvik,68.35,-133.72,59.0,21,20,8.05,CA,1590628702
116,turka,49.15,23.03,48.99,84,54,3.87,UA,1590628702
117,marsa matruh,31.35,27.25,66.2,63,0,5.82,EG,1590628702
118,genhe,50.78,121.52,70.72,26,100,9.75,CN,1590628702
119,bethel,41.37,-73.41,69.01,82,1,5.82,US,1590628703
120,chifeng,42.27,118.96,63.73,45,100,9.37,CN,1590628650
121,saskylakh,71.92,114.08,34.65,80,72,15.21,RU,1590628703
122,severo-kurilsk,50.68,156.12,38.79,91,100,13.82,RU,1590628703
123,amapa,1.0,-52.0,73.36,98,38,2.73,BR,1590628704
124,kerman,30.28,57.08,62.6,27,0,6.93,IR,1590628704
125,glendive,47.11,-104.71,66.99,39,20,13.87,US,1590628704
126,changji,44.02,87.32,69.8,52,84,4.47,CN,1590628704
127,upernavik,72.79,-56.15,29.03,97,100,2.28,GL,1590628684
128,sibolga,1.74,98.78,82.11,70,49,0.47,ID,1590628602
129,changli,39.7,119.15,71.69,45,3,5.88,CN,1590628640
130,taltal,-25.4,-70.48,55.04,79,23,0.65,CL,1590628705
131,namibe,-15.2,12.15,70.18,71,100,2.59,AO,1590628705
132,tiksi,71.69,128.87,30.6,95,100,10.36,RU,1590628706
133,chuy,-33.7,-53.46,51.76,86,0,6.62,UY,1590628706
134,atuona,-9.8,-139.03,80.78,75,5,9.57,PF,1590628706
135,gizo,-8.1,156.84,85.95,69,69,7.63,SB,1590628706
136,pringsewu,-5.36,104.97,79.25,84,100,1.34,ID,1590628706
137,yerbogachen,61.28,108.01,38.61,74,99,11.23,RU,1590628707
138,tutoia,-2.76,-42.27,79.03,87,0,8.7,BR,1590628707
139,nanortalik,60.14,-45.24,37.62,85,69,7.92,GL,1590628707
140,cururupu,-1.83,-44.87,75.83,92,46,3.31,BR,1590628707
141,hofn,64.25,-15.21,47.12,81,100,13.11,IS,1590628707
142,dwarka,22.24,68.97,84.76,80,4,19.93,IN,1590628708
143,kodiak,57.79,-152.41,53.6,62,20,10.29,US,1590628708
144,saint pete beach,27.73,-82.74,84.0,100,1,3.36,US,1590628646
145,geraldton,-28.77,114.6,60.8,72,90,12.75,AU,1590628708
146,sisimiut,66.94,-53.67,31.68,93,21,9.64,GL,1590628709
147,ouadda,8.08,22.4,71.24,87,86,2.89,CF,1590628709
148,ternate,0.8,127.4,79.32,83,100,2.53,ID,1590628709
149,saint-joseph,-21.37,55.62,69.8,52,9,8.05,RE,1590628709
150,mount gambier,-37.83,140.77,53.6,93,90,8.05,AU,1590628710
151,aneho,6.23,1.6,82.4,83,40,8.05,TG,1590628710
152,kavieng,-2.57,150.8,84.04,75,100,9.84,PG,1590628710
153,big spring,32.25,-101.48,86.0,23,1,16.11,US,1590628711
154,dabhol,17.6,73.17,78.93,89,83,4.45,IN,1590628711
155,general roca,-39.03,-67.58,53.6,54,0,3.36,AR,1590628711
156,saint-philippe,-21.36,55.77,69.8,52,20,8.05,RE,1590628711
157,alofi,-19.06,-169.92,82.4,74,75,9.17,NU,1590628712
158,havoysund,71.0,24.66,42.8,81,40,13.87,NO,1590628712
159,longyearbyen,78.22,15.64,42.8,70,75,6.93,SJ,1590628712
160,graham,47.05,-122.29,75.0,35,1,4.7,US,1590628712
161,pogar,52.55,33.26,47.01,92,1,4.09,RU,1590628423
162,beloha,-25.17,45.05,67.23,83,7,5.99,MG,1590628713
163,mount isa,-20.73,139.5,75.2,22,0,10.29,AU,1590628713
164,provideniya,64.38,-173.3,35.6,96,90,13.42,RU,1590628713
165,rawson,-43.3,-65.1,51.33,47,71,8.66,AR,1590628713
166,aklavik,68.22,-135.01,59.0,21,20,8.05,CA,1590628714
167,luorong,24.41,109.61,78.17,68,0,4.68,CN,1590628714
168,sao filipe,14.9,-24.5,74.71,75,0,5.93,CV,1590628714
169,stepnogorsk,52.35,71.89,54.61,57,44,5.17,KZ,1590628550
170,nandu,22.85,110.82,82.29,69,26,3.18,CN,1590628715
171,san pedro,14.35,121.02,91.99,74,20,2.24,PH,1590628715
172,vilyuysk,63.76,121.62,38.62,75,100,12.64,RU,1590628715
173,kizukuri,40.81,140.39,64.0,67,40,11.41,JP,1590628716
174,faya,18.39,42.45,66.2,63,0,5.41,SA,1590628716
175,carutapera,-1.2,-46.02,76.98,90,38,5.37,BR,1590628716
176,hilo,19.73,-155.09,80.6,61,90,13.87,US,1590628630
177,grand-santi,4.25,-54.38,74.08,96,100,2.35,GF,1590628717
178,da lat,11.95,108.44,70.72,81,85,1.52,VN,1590628717
179,saldanha,-33.01,17.94,50.0,71,73,6.93,ZA,1590628717
180,new norfolk,-42.78,147.06,57.99,74,73,3.0,AU,1590628718
181,kawalu,-7.38,108.21,76.73,86,100,1.61,ID,1590628718
182,miri,4.41,114.01,77.0,94,90,2.24,MY,1590628718
183,mao,39.89,4.27,64.4,93,0,3.36,ES,1590628718
184,coihaique,-45.58,-72.07,40.5,83,79,4.72,CL,1590628718
185,qaqortoq,60.72,-46.03,37.4,86,16,2.24,GL,1590628719
186,trelaze,47.45,-0.47,64.0,67,0,8.05,FR,1590628719
187,luderitz,-26.65,15.16,51.8,62,0,4.7,NA,1590628719
188,melhus,63.29,10.28,45.0,89,100,1.01,NO,1590628720
189,shahr-e babak,30.12,55.12,68.7,23,0,3.58,IR,1590628720
190,zeerust,-25.54,26.08,35.6,59,0,5.82,ZA,1590628720
191,aransas pass,27.91,-97.15,82.4,78,1,11.41,US,1590628720
192,bonavista,48.65,-53.11,37.99,79,99,1.99,CA,1590628720
193,shanting,35.08,117.46,80.35,26,0,10.63,CN,1590628721
